age,gender
32,M
29,F
33,M
37,F
28,M
28,M
37,M
33,M
27,F
32,M
27,F
27,M
31,M
20,M
21,F
27,M
24,F
31,F
25,F
22,F
37,F
28,F
30,F
22,F
27,F
30,M
24,M
31,M
26,M
28,M
26,F
39,F
29,F
24,F
34,F
23,F
31,F
20,M
23,M
30,M
33,M
30,F
29,F
28,F
22,M
26,F
27,F
35,F
31,M
21,F
31,M
28,M
26,M
33,M
35,F
34,M
25,M
28,F
31,F
34,M
27,F
29,M
24,M
24,M
34,M
36,F
29,M
35,F
31,F
26,F
31,F
37,M
29,F
37,M
16,F
34,F
30,M
28,M
30,M
20,F
28,F
31,M
37,M
27,M
25,M
27,F
34,M
31,M
27,M
32,M
30,F
34,M
26,F
28,M
28,M
22,F
31,M
31,F
30,F
28,M
22,F
27,F
28,F
25,F
29,F
32,F
39,F
30,F
31,M
29,M
20,F
29,M
30,F
42,F
29,M
31,F
29,F
24,F
35,F
33,M
33,F
25,F
37,F
22,M
32,F
40,M
25,M
27,F
30,F
27,M
22,F
30,M
24,M
32,F
25,F
37,M
26,M
28,M
34,M
23,F
31,F
36,F
21,F
30,F
31,M
33,F
23,F
23,F
32,F
31,F
31,M
31,M
26,M
31,F
31,M
26,M
39,F
32,F
24,F
33,M
25,M
33,F
35,F
25,M
34,M
32,F
34,F
39,M
28,F
26,M
25,M
25,M
29,M
31,F
31,F
34,M
30,M
37,M
28,M
43,M
33,F
25,F
24,F
32,F
28,M
33,M
32,M
29,M
25,M
22,F
27,M
34,F
31,F
23,F
30,F
31,M
25,F
30,F
30,F
24,M
31,M
32,M
35,F
35,F
23,M
25,F
32,M
32,M
32,F
49,F
32,F
35,F
34,M
33,M
28,M
33,M
26,M
28,F
27,M
30,M
41,M
20,F
33,F
21,F
27,F
35,M
30,M
24,F
26,F
33,M
26,M
31,F
30,F
26,F
40,F
33,M
19,M
30,M
26,F
34,F
26,M
29,M
32,M
34,M
23,F
28,M
27,M
26,M
38,M
32,M
23,M
34,M
40,F
35,F
22,F
27,F
36,M
26,F
32,F
33,M
25,M
29,F
13,F
24,M
28,F
23,M
38,M
22,M
27,M
30,F
37,M
22,M
35,F
30,M
25,F
32,F
30,F
26,M
30,F
28,F
30,M
33,F
37,F
23,F
40,F
20,F
29,M
32,F
31,F
26,M
28,M
27,M
27,F
34,M
31,F
26,F
34,M
31,M
34,F
33,M
25,F
27,M
33,M
33,M
29,F
30,M
36,F
27,F
32,F
28,F
28,M
35,F
34,F
34,M
36,F
30,M
33,F
28,M
31,F
29,M
30,F
32,F
25,M
40,M
24,M
23,M
35,F
33,F
33,M
33,F
29,M
25,M
30,F
26,F
34,F
29,F
25,F
28,F
32,F
27,M
25,M
31,M
31,M
27,M
27,F
31,M
22,M
22,M
26,M
28,M
31,M
37,M
34,F
29,F
29,M
24,F
29,F
28,F
31,F
25,M
32,F
37,F
29,F
32,M
33,M
27,M
31,M
30,M
30,M
26,M
30,F
32,F
37,F
34,M
40,M
26,M
34,M
30,M
40,F
25,F
25,M
27,M
19,M
27,M
26,F
30,M
31,M
39,M
34,M
27,F
25,M
32,M
23,F
39,F
35,F
27,M
21,M
36,F
29,F
36,F
22,F
27,F
30,F
30,M
27,M
33,M
24,F
29,F
30,F
32,F
33,F
24,F
22,M
36,M
31,F
26,M
37,F
30,M
35,F
30,F
40,M
38,M
28,F
34,F
33,M
36,M
25,F
33,M
35,F
21,F
24,F
19,F
28,M
33,M
37,M
30,M
38,M
23,M
21,M
29,F
31,M
29,M
19,F
29,M
23,M
33,F
31,M
25,M
27,M
24,F
29,M
34,M
25,F
32,M
27,F
26,F
29,M
24,F
27,F
24,M
39,F
30,F
26,M
31,M
29,M
28,F
33,M
33,F
27,F
27,F
28,F
18,F
22,F
36,F
38,M
28,M
32,F
31,F
45,M
35,F
29,M
25,M
21,M
31,F
26,F
22,M
26,M
24,M
38,M
34,M
29,F
37,M
30,F
25,M
37,F
32,F
24,F
29,F
25,F
23,F
34,M
39,F
23,M
32,F
26,F
27,M
27,F
25,M
30,M
25,M
31,M
29,F
28,F
25,M
27,F
33,F
32,M
25,F
30,M
33,M
21,F
32,F
26,F
32,M
26,M
20,F
21,F
30,F
31,F
25,M
33,F
21,M
29,M
23,F
26,F
30,F
25,M
28,F
35,F
27,M
34,F
24,M
